Key;Anzahl
2403;49
3739;13
19804;2
19805;1
19806;3
2406;1
9050;3
9053;1
2415;1
2413;1
2414;1
2411;3
2412;8
3740;2
3743;11
3742;3
3745;12
3744;5
2417;38
2418;20
22757;1
19104;1
9069;1
22756;1
9068;1
22758;1
21420;1
3760;1
9060;1
22751;2
22755;1
2426;64
2427;1
2422;1
2421;1
3751;1
3754;2
2429;1
22768;9
22767;1
21432;2
22769;1
22760;1
1110;3
21438;3
22764;1
22763;1
22766;1
22765;4
2437;4
1107;3
2438;6
1105;49
2433;14
3766;18
1108;5
2439;6
1109;4
3768;1
22739;1
9084;1
21409;2
9083;1
9088;2
9087;1
21406;2
9086;1
9085;1
2447;4
1113;14
1111;1
2442;1
1112;22
3775;4
1119;19
21410;1
3794;9
22740;1
9093;1
9092;1
21419;1
9098;1
21417;1
1128;2
6818;1
2457;7
6819;1
9090;1
3784;2
6810;1
6811;2
3787;10
6812;2
6813;1
6814;2
6815;1
6816;1
6830;1
1142;1
1143;4
1140;18
2471;14
22710;1
1139;37
6829;1
1138;1
2466;5
1136;1
1133;1
6820;2
6821;1
22709;1
6822;4
6826;2
6827;1
22724;1
1153;4
2484;10
2485;1
2482;1
1152;5
5508;1
5500;2
5505;6
5504;2
6836;2
5507;1
5506;6
20994;2
20995;5
20992;1
20993;2
20990;18
6850;1
6851;5
1165;16
2493;2
1163;6
2494;1
1160;33
2491;28
20998;1
20999;1
20996;1
20997;1
1159;5
2488;1
1158;2
2487;1
6842;4
6847;1
6848;9
6849;1
22701;2
22703;1
6860;8
22706;1
22705;1
22708;1
22707;1
5531;1
1176;1
1171;40
1172;18
22700;1
1170;1
1169;6
1166;3
1167;5
6853;1
6854;12
5525;4
5527;3
6858;2
5529;12
6859;1
20178;1
6870;1
5541;1
20177;1
1186;1
19183;8
19186;1
19182;1
1179;1
1178;2
6864;1
6865;4
5536;9
12552;1
6866;1
12551;3
4204;2
6868;1
12558;2
4206;1
6869;1
12557;1
4209;1
5539;3
6880;2
19198;1
6883;3
5554;17
1195;11
1194;1
1188;1
9903;1
12565;1
5544;5
5546;1
12562;1
9907;1
12569;1
12567;1
9904;1
12566;1
21489;1
20154;1
20155;2
4234;3
4233;17
6896;1
19163;1
12537;1
4225;3
20150;1
4224;4
12531;1
6887;9
21482;3
6888;1
21480;1
4229;2
12536;1
12535;1
5559;4
12534;3
4243;1
300;6
12549;1
302;1
304;24
306;11
9925;1
6897;1
12542;1
6899;1
307;9
9922;2
309;4
9927;2
5581;2
4252;3
20134;1
4251;1
21466;1
5582;1
8612;1
20132;1
4253;1
8611;2
4256;1
5587;2
9941;1
8610;1
21461;2
4255;2
20131;1
311;1
313;4
314;2
9936;1
9934;1
4249;1
318;1
9933;2
12513;1
9939;3
12512;1
4261;12
5592;1
21478;1
5591;1
19159;2
21479;1
20148;1
5594;1
21476;3
20145;1
5593;1
21477;2
20146;1
4265;1
5596;1
19154;1
8622;1
20144;1
8621;1
4267;1
5597;1
4266;1
20142;1
5590;2
20149;1
12528;2
324;1
328;34
5589;1
8616;5
5588;1
8615;1
20140;1
12525;1
8619;1
8618;1
8617;1
9961;1
4271;39
22778;1
19126;1
19121;1
8634;3
8633;3
8632;4
4277;3
9962;1
8631;3
22771;1
22770;1
22773;1
22772;1
22775;1
22774;1
22777;2
22776;6
330;3
332;5
335;2
337;4
336;1
4268;6
8626;1
8624;1
8641;4
4282;20
9971;1
22789;1
9970;1
19138;1
20124;1
8643;1
4288;4
22781;1
22784;1
19130;1
22783;1
22786;1
20129;1
22785;1
4281;8
20127;1
22788;1
21459;1
4280;1
20128;1
22787;1
9969;1
8636;1
9983;1
4293;1
8651;1
9980;1
9984;1
4290;6
4291;5
357;9
8649;1
19904;1
8648;1
8646;1
10;11
19902;1
11;43
6000;1
6001;1
6003;1
362;4
368;2
367;62
23;492
12491;1
6010;1
25;46
6011;1
24;27
6012;1
27;32
12495;3
26;4
6015;1
28;7
8675;2
370;9
373;14
375;1
376;5
6006;1
6007;1
8669;1
6008;1
6009;1
30;95
31;61
34;11
36;20
35;84
38;81
6026;1
6027;1
380;78
384;5
385;2
387;30
389;24
6017;3
6018;1
6019;1
43;110
42;489
6031;1
44;305
6032;1
47;26
6033;2
46;4
6034;1
6035;3
48;568
12471;1
391;1
393;8
395;17
394;13
6030;1
396;11
399;1
398;5
6028;1
6029;3
12476;1
50;67
12474;3
54;19
12479;1
12478;1
56;351
6042;1
55;174
6045;1
6046;1
12484;3
6047;2
6049;2
63;79
62;184
65;20
64;33
67;146
6053;1
6054;1
69;17
6055;1
20079;1
68;18
6057;1
19088;2
12451;1
19084;1
19086;1
19087;2
6051;2
19090;1
70;3
12454;1
20074;1
71;46
74;38
73;8
12462;1
6069;1
20089;1
19096;1
19097;1
6060;1
6063;1
81;1
83;8
12464;4
82;13
85;1
20080;1
84;3
86;8
12467;1
88;219
19984;1
9100;1
6079;1
6071;2
96;328
97;15
99;17
6087;1
6088;2
6089;1
9117;1
6082;1
9110;1
20987;1
6084;1
3806;1
3808;1
9125;2
9129;1
9121;2
6094;3
6095;2
3817;4
9139;1
9132;2
9130;1
3828;8
3824;19
9147;1
9146;2
19940;1
19941;1
9145;1
9148;2
20937;2
9142;3
20930;1
20931;1
9140;1
2504;1
2501;18
3839;10
3838;1
20928;1
3830;2
3833;35
3832;1
3834;4
9158;8
9157;1
9150;1
9151;1
3843;3
2516;2
2517;2
3845;3
9169;2
9168;2
9167;2
19920;4
9161;2
9160;1
20913;1
9165;2
9164;1
9163;1
9162;1
2522;6
3850;1
3853;4
3852;1
2529;1
19921;1
9179;1
9172;7
2540;14
9171;8
9170;8
1203;4
2534;1
1204;22
1201;7
2533;6
1200;3
19939;1
2539;1
19220;1
3882;1
3881;1
2550;2
9183;1
1220;25
9182;1
9180;1
9185;1
6906;1
1214;2
6907;1
2546;6
6908;2
6909;1
1211;1
3873;6
6900;3
3876;3
1219;1
6904;4
19234;1
1230;1
9195;3
6916;1
2556;1
12604;1
6919;6
1223;2
1224;6
1221;2
1222;1
2553;53
3883;1
6910;1
3885;2
6911;1
3887;1
19202;1
21521;1
2572;3
21527;1
2569;16
1239;1
1237;4
2568;2
2565;46
2566;191
1233;4
6920;1
3897;1
6921;1
3896;2
3899;2
19206;1
6923;2
3898;1
6924;3
6925;3
19211;1
19212;2
6940;1
2584;7
2581;2
6938;1
6939;1
2579;2
1245;3
2576;12
2574;24
6931;1
6933;3
6934;1
6935;1
5606;1
21500;1
21501;1
1264;5
21509;1
1261;1
21506;2
1262;12
2590;1
21504;1
5619;1
5618;1
2589;1
2587;1
2588;1
1254;9
2585;1
2586;1
6941;2
6944;2
6945;1
6946;1
6947;1
21512;1
6960;1
1272;64
21517;1
1270;2
21515;1
5629;1
1269;1
1267;17
2598;1
1268;3
1265;9
1266;17
2597;1
6952;1
6953;1
6954;1
5623;8
6956;1
5625;5
6972;1
5642;1
5641;7
1285;1
1286;8
1284;13
1277;2
6963;1
6964;1
4306;1
5637;1
5636;8
5639;7
4308;4
6982;3
1295;14
1291;4
1289;5
1287;7
1288;11
4315;5
5645;2
4317;5
5647;1
5649;8
5660;4
6991;1
6992;2
6993;1
6994;1
1298;10
1299;1
5655;1
12674;2
5654;2
12673;2
4325;1
6988;1
12679;1
5659;1
12678;1
12676;1
22008;1
4340;1
4342;1
12680;3
3007;4
401;2
400;2
403;19
402;12
3004;1
4335;5
5666;1
6997;1
407;10
6999;5
4339;1
408;1
5680;1
5682;3
5681;1
4353;1
5684;3
4352;3
19287;1
5683;2
8710;1
19288;1
4355;2
19289;1
4354;86
5685;2
410;1
3019;2
4346;1
5677;2
415;1
20272;1
4348;3
5679;1
12657;1
5691;4
5690;2
19293;2
19292;1
421;9
425;25
424;11
8714;2
5687;1
12663;1
429;1
5689;2
12667;1
8717;1
12666;1
21586;1
8733;2
21585;1
8732;1
8731;1
19267;2
21583;1
8730;1
432;3
436;1
435;6
438;11
8726;1
5698;1
21581;1
8724;2
439;12
8729;18
12634;1
12633;1
8740;2
8744;3
8743;2
20265;1
8742;1
8741;2
12648;1
12647;1
3049;7
446;68
449;15
8737;1
20261;1
21592;1
8735;1
21590;1
8734;1
8739;2
12644;1
8738;4
4393;3
21566;1
19246;1
4392;4
21567;1
21563;2
20239;1
4391;1
21568;1
12617;1
451;41
12616;1
454;4
453;18
458;16
12619;1
459;12
8747;5
8746;2
8745;4
21577;2
8762;1
21575;1
21573;1
8764;1
3078;1
19252;2
21579;1
12628;1
12625;1
467;1
469;9
468;1
12620;1
8758;3
21570;1
12624;2
6110;1
6111;2
13000;3
470;2
478;1
6106;13
6107;1
13003;1
6108;1
6109;1
3093;2
3091;2
6125;1
3098;3
481;104
480;2
483;3
3094;1
482;10
484;3
486;4
488;1
6117;1
6130;1
6134;2
494;6
495;4
497;4
499;3
6145;18
6147;1
6140;1
12593;1
12597;2
6162;11
6175;2
9200;1
12571;1
9204;1
6171;2
12575;1
12573;1
12578;1
12577;2
9211;1
9210;1
12583;1
12581;1
9215;1
6181;3
3903;3
12587;1
12586;1
9207;1
9222;1
9221;2
9228;1
6191;1
6194;1
3914;2
9219;1
9218;1
3911;1
9232;5
13091;1
3925;9
3924;1
3927;1
3926;2
9229;1
3922;6
9246;7
13063;1
13062;1
9245;1
9243;2
13067;1
9249;1
13066;1
9248;2
13065;1
13064;1
9247;2
9242;2
3935;1
2603;3
3938;2
3939;1
2608;4
3930;1
13069;1
2609;6
13068;1
3931;1
3934;1
3933;6
9256;2
13072;1
9255;1
13071;1
13078;1
13070;1
9253;3
9250;3
3948;3
2619;13
3941;1
3940;1
2617;10
3942;18
9265;4
9269;1
9264;2
9263;2
3958;2
2625;2
2622;13
2621;6
3952;2
3956;3
2626;1
13054;1
2635;1
1305;3
2636;1
1303;4
1300;1
2631;8
13058;1
1308;1
2639;2
1309;3
1307;3
2638;7
9289;1
9288;1
13022;2
13021;1
3980;3
9282;2
2650;3
9286;1
9283;1
1315;4
2646;1
1316;1
1313;4
2644;1
1314;7
1311;33
2643;1
2641;1
1317;1
2648;2
13029;2
1318;8
13028;2
13030;2
9299;7
9298;1
13033;2
13032;2
13031;2
9293;1
9297;5
9294;1
2657;2
1324;3
2655;1
1322;4
1321;4
2652;1
3985;2
1328;1
2659;2
19345;1
1341;26
2672;3
2670;2
21667;1
21668;1
1337;2
2668;1
1338;5
2669;1
12715;1
1335;45
2666;1
12714;1
2667;1
12713;1
2664;1
1334;23
2665;1
12719;2
2662;1
12718;1
1332;4
12717;1
3994;2
3995;2
3998;1
12712;2
3997;1
12711;1
3999;4
19358;1
21672;4
21673;1
21670;1
1351;15
2680;1
1350;4
19351;2
1348;11
2679;1
12727;1
1349;8
5706;2
12726;1
5709;1
12725;1
5708;2
12724;2
2676;1
1342;25
12729;2
12728;1
5700;1
12723;2
5702;3
12722;3
12721;2
12720;2
5704;5
21643;3
21641;2
21642;1
2691;5
21649;1
1361;1
2692;1
21647;4
20317;1
21648;1
21645;1
5718;1
5717;1
1357;7
1353;2
1354;1
5713;6
21654;1
21655;1
19335;1
21653;2
21650;1
21651;1
19332;2
19333;3
1373;4
1374;2
1371;7
1372;1
21656;1
5729;3
12705;1
5728;1
1368;1
12703;1
12702;1
1366;1
2697;16
12709;1
1365;2
5721;1
5720;6
5723;1
5724;1
5727;1
5726;1
21622;1
1385;5
21627;1
1383;8
21628;1
1380;6
21625;1
21626;1
21623;2
21624;1
4409;1
5739;5
1377;1
4401;1
4400;6
5734;2
5733;2
4405;1
5736;2
4404;2
5735;3
21633;1
21630;1
20300;1
5750;4
19311;1
1393;377
20307;1
1394;1
21639;1
1391;10
1392;153
21637;1
1386;7
1387;1
5743;1
5744;1
4418;2
4417;1
5760;3
21607;1
21605;1
21606;1
21603;1
21604;1
21602;1
1398;4
4423;2
4425;2
4424;3
5758;2
4426;1
5759;2
4441;2
5771;1
21618;1
21617;1
21614;1
21612;1
3108;8
3106;2
3107;2
500;2
502;2
3102;7
503;1
5767;1
508;45
5769;1
5768;1
8810;3
12792;2
12791;2
11460;1
5785;1
11461;1
3120;8
3117;14
8809;2
3118;6
511;7
3115;3
510;1
513;20
515;125
8803;1
11462;1
5775;6
11463;1
11464;1
4446;2
5777;2
8806;6
8804;4
5790;1
4461;4
5792;1
5794;3
4465;6
5796;1
14509;1
8819;2
521;7
523;3
526;2
8813;6
4458;5
4457;8
11478;2
11479;1
8832;1
4473;1
8831;1
4475;1
11448;1
11449;1
3139;1
3138;5
535;1
3135;4
3136;5
537;18
536;7
4466;1
539;103
8823;1
538;18
8829;5
8827;1
8826;1
11447;3
22107;1
4487;8
8840;50
4486;1
3155;1
22100;1
22102;1
22101;1
22106;2
3150;1
22105;1
11459;1
542;1
541;26
544;19
543;3
545;1
548;1
8836;1
12785;1
547;19
8835;12
11453;2
4479;1
8839;1
11457;2
11458;1
4492;2
4497;1
553;37
552;10
12757;1
555;57
554;28
557;2
556;5
3158;5
559;34
558;14
4488;2
12755;1
8849;6
8848;2
8861;1
8860;2
19396;1
8864;3
6202;1
20383;2
19398;1
6203;1
3178;1
3174;5
560;4
562;4
11437;1
3168;6
3169;5
20381;2
20382;3
12762;1
12761;1
8855;1
20380;2
8859;3
8872;1
20357;1
21685;2
6211;1
21684;1
3189;15
12738;1
12737;1
12736;1
11406;3
12735;2
579;6
3179;2
12739;2
6204;1
12730;3
8868;1
8866;4
6208;6
12734;3
12733;1
12732;1
12731;2
21698;2
3192;2
20368;3
8882;1
6220;1
21696;1
6222;1
8887;1
8884;1
20362;2
21693;1
6225;4
3199;1
19372;1
3193;1
583;4
11416;5
586;4
12747;1
585;3
12746;1
587;7
6215;3
12741;4
12740;1
21691;2
6216;1
6217;1
11413;2
12743;1
8894;1
8893;3
6231;2
6233;1
6234;2
6235;1
8895;3
8890;1
593;2
599;5
6229;1
6240;1
6241;1
22089;1
22083;1
22085;1
22087;3
6238;1
6239;1
6251;3
6254;1
22052;2
22053;2
6249;1
13101;1
9304;3
9303;1
22037;1
22032;1
9312;1
9315;2
22040;1
9308;2
9306;1
9323;5
9322;3
9326;4
12692;1
9325;2
9324;1
12690;1
22011;4
22016;1
22015;1
22018;1
22010;3
12697;1
12696;1
9317;1
12694;2
12698;1
8003;1
8005;1
22022;3
22025;1
9330;4
22026;2
22028;3
22020;3
9328;2
8014;1
9345;1
9344;2
8012;2
9342;1
9348;5
9341;1
2709;4
2707;1
2708;13
8008;1
2705;7
2706;2
9356;1
9359;2
9352;1
2710;6
2719;9
2716;51
2717;6
2714;15
2715;1
9367;1
9365;1
9364;1
8037;5
9362;1
9361;1
2723;14
2724;1
2721;10
2722;5
2720;15
2727;7
2725;43
8047;2
9377;1
9375;1
9373;2
9372;1
9371;1
2734;7
2735;6
2732;3
1402;66
2730;1
2731;39
1409;3
2738;1
2736;1
1406;3
9388;1
9384;9
8053;2
9383;1
9382;1
8051;1
1414;21
2745;1
1411;20
2748;21
8069;4
8068;3
8067;2
8066;2
9397;2
8061;2
9392;1
8060;3
8065;1
9396;1
8064;2
9395;2
8063;3
8062;3
9393;2
1425;2
1426;2
2757;1
1423;2
1424;3
1427;24
2759;4
8079;2
8078;1
8077;2
2770;8
8072;4
8070;2
8073;1
1436;5
22092;1
1437;15
2768;43
22091;1
22094;2
22093;1
1432;2
2763;5
22096;1
1433;17
22095;1
1430;1
22098;1
1431;1
2762;11
22097;1
2769;1
22090;3
8089;1
8088;1
1450;3
1451;1
8082;1
2778;33
5806;2
2779;1
1444;46
5809;1
5802;2
5804;1
5803;1
19469;1
8099;2
20450;4
1461;2
1462;7
2793;9
8092;1
2790;1
19460;1
1460;3
8091;3
2789;6
5817;1
1459;22
12836;1
12835;3
5819;2
1457;1
2788;25
12834;1
5818;1
2786;1
5811;1
5813;1
5812;1
5815;1
11502;1
5814;2
21795;1
20462;1
20463;2
1472;1
1473;36
1470;2
1471;13
1469;5
11514;1
5828;2
5827;1
1467;17
11516;1
12846;4
5829;10
12845;1
5820;1
5822;2
5824;2
5823;1
12842;1
5826;1
12841;1
5825;1
19444;1
21765;1
20431;2
21763;1
19443;1
1481;2
12809;1
21769;1
4507;3
12814;1
1478;6
12813;1
1479;4
12812;1
12819;1
1477;1
1474;3
12817;1
4502;3
5832;1
12810;1
4505;2
5836;4
21773;1
20442;1
19458;1
21774;1
21771;1
1494;32
1495;19
1490;5
20448;1
20449;1
21777;1
21778;1
1487;2
1488;7
12828;1
12827;1
4513;4
19422;1
21742;1
19423;1
19424;1
3200;2
21749;1
20416;1
21747;1
21744;1
20414;1
1498;1
1499;1
1496;2
1497;12
21751;1
5870;1
4542;1
5873;1
5872;1
3211;2
21759;1
20429;1
20427;1
21755;1
12808;1
12807;1
601;2
12806;1
603;3
602;2
4532;1
604;1
607;72
5868;3
19438;1
5867;1
608;56
4538;2
19401;1
5880;1
19402;1
5883;1
3221;6
21726;1
21725;1
21723;1
8909;2
3216;1
3213;3
19408;1
613;92
8900;1
615;10
5876;4
21731;1
21730;1
8920;1
5892;2
19410;2
21739;1
3231;1
21734;1
3229;3
8919;1
3228;1
621;10
623;2
625;14
19419;1
5888;1
5887;2
629;3
628;8
8931;2
3240;55
14619;1
14618;1
631;9
634;58
3234;2
8924;3
635;3
638;21
637;8
4585;2
3254;3
22246;1
641;30
645;31
3245;2
644;11
647;5
14622;1
14621;1
14620;1
11598;1
8937;1
14623;1
4593;1
8952;1
4597;8
11560;1
8950;1
3262;1
656;1
4588;4
657;5
8945;1
12894;2
12893;1
8949;1
12898;1
8963;4
11570;1
8962;1
11571;1
3275;1
661;13
663;11
662;4
664;16
669;1
14600;1
11572;1
8957;1
668;4
8956;2
11573;1
8955;2
11576;1
8959;2
8958;1
11579;5
8971;1
8975;2
8973;2
8972;1
670;14
3282;1
672;5
11547;1
671;18
12878;1
676;1
675;4
678;1
677;3
679;6
11540;2
12871;1
11541;1
12870;1
12877;2
12876;1
12874;2
8969;5
8982;1
3291;4
8981;1
6322;1
8983;1
3296;1
3297;3
3294;1
681;15
680;8
11558;1
682;1
11559;1
12889;1
689;4
3289;2
12884;1
8978;5
12883;2
12881;2
8976;3
6319;2
11556;2
12886;1
11557;1
12885;1
8993;1
5002;3
20474;2
5001;2
8995;2
19486;1
5004;1
8994;1
5003;1
11526;1
696;2
8989;1
6326;1
6328;1
8987;1
11523;1
5011;1
5010;1
6344;1
11537;1
11538;8
11539;4
12867;1
12862;2
6337;8
5005;2
6338;2
8999;2
11530;1
8998;3
6339;4
12866;1
12865;1
11534;1
14570;1
5020;3
6351;1
6354;2
5024;18
14573;4
14572;1
14571;1
5025;1
6347;2
6348;4
14577;1
6349;1
14576;1
14579;1
5031;2
14581;1
14584;2
14583;1
14582;1
5036;1
6360;2
6358;1
5027;3
14587;1
5029;5
14586;3
14552;2
6377;1
14551;1
6378;1
9402;2
14550;1
6379;1
9401;2
5040;2
14556;2
5038;5
14554;1
14553;1
14559;1
14558;1
6383;4
9411;2
5052;8
6384;1
14563;1
5057;4
14562;1
5056;3
9413;6
5058;2
6380;1
6381;2
5050;4
9408;2
14567;1
14565;1
9405;6
14564;1
14568;1
9422;2
5064;1
9421;3
5066;4
9420;1
5065;20
6398;1
14530;1
6399;1
9423;1
5069;5
5060;2
5062;2
9416;2
14536;2
8102;1
5075;1
9432;1
9431;8
8100;2
9430;1
14541;1
14540;1
9435;3
8104;1
5071;1
5070;1
5072;2
14545;1
14544;1
14543;1
9427;1
14542;1
14549;1
14548;1
14547;1
14546;1
8113;1
5086;2
8112;1
5085;2
5087;1
8116;1
5089;1
8114;2
5081;1
5084;1
5083;1
14519;4
2808;1
11484;2
11487;2
2805;6
2802;3
9455;2
9454;4
5096;3
5099;2
5098;4
9459;7
9458;1
9457;1
9456;1
9450;1
5095;1
5094;2
2811;2
2812;55
2817;1
14520;2
14526;1
2814;16
9466;1
9463;1
8139;1
9469;1
9467;1
21704;2
9462;1
21702;1
21700;3
21701;1
2828;2
8129;1
2826;4
2827;2
8146;2
21710;1
9476;1
8149;3
9479;2
8148;3
9478;1
21717;1
21718;1
21715;1
21716;1
21713;1
21711;1
21712;1
1502;3
1503;2
1500;1
2831;2
21709;1
1509;8
1507;19
2838;9
2835;4
9488;2
18994;1
18993;1
18996;2
8158;1
9489;1
9480;5
9484;2
9483;1
9482;1
9481;3
1513;1
1514;1
1511;8
2843;2
2840;5
1510;2
2841;2
1519;13
1518;2
1515;1
8168;6
9499;2
8167;1
9498;2
8160;3
9495;2
8162;1
8161;2
9492;1
2855;3
1525;9
1522;3
1520;7
2851;1
1521;13
1528;5
2859;2
1526;1
8179;1
1536;4
2862;1
2861;2
18975;1
1537;1
1538;1
2880;2
1550;1
2881;3
1546;4
2877;5
1547;6
5904;1
1544;3
1545;2
2876;5
1541;5
2879;5
14592;1
14591;1
14595;1
14594;1
14593;1
1560;7
8193;1
2892;3
2890;1
8196;2
8195;3
1557;1
2888;2
5916;2
2889;40
1555;4
5917;1
1554;3
1551;1
1552;6
14599;1
5912;4
1559;1
5913;4
1572;2
5927;2
1569;1
5929;4
1567;1
1564;1
2895;1
1562;3
2893;1
1563;1
2894;1
5921;1
18965;1
5924;1
19586;1
1581;5
5938;1
1579;82
11624;1
12956;1
1578;17
1576;7
1573;3
12950;5
12954;1
5935;1
12951;1
19598;1
19596;1
1593;1
1594;1
1592;1
5948;1
11636;1
1589;9
12966;1
1587;1
1585;4
12961;1
5942;1
12965;1
11632;2
11633;1
12962;1
20554;1
19562;2
5961;2
5960;2
19560;1
12934;1
12933;1
1598;3
1595;2
4622;3
5955;2
4626;3
21896;1
21897;2
19578;1
5972;1
19574;1
4640;2
21898;1
21899;1
12947;7
12946;2
12944;4
3305;3
11616;4
3303;9
12949;5
12948;4
5962;1
4633;1
706;1
12943;3
5969;1
12941;1
5968;2
3309;2
12940;1
21863;4
19545;1
21862;1
5983;3
19541;1
5982;1
19542;2
3321;1
20538;1
12909;2
20539;1
12908;1
12912;3
12918;2
12917;1
711;4
710;7
5974;2
4643;1
5976;1
714;7
5975;2
717;24
12910;2
716;3
4646;1
719;1
3319;3
718;6
5979;6
5990;2
4660;1
5994;2
19552;1
5993;1
4662;1
19553;1
2000;3
3331;1
2001;4
12919;2
3328;1
720;8
3325;1
722;8
721;2
724;3
723;14
5984;3
726;10
725;22
12920;1
19522;3
20511;1
19524;2
4671;2
19520;5
2011;12
20518;2
21849;1
2012;1
21845;1
21846;1
21843;1
20512;1
21844;1
20513;1
2008;1
2009;6
2006;1
2004;1
2005;2
20509;1
3333;1
2003;1
5996;1
4665;1
4664;5
4667;1
5997;1
4666;1
4669;2
19526;1
19528;1
21852;1
21850;1
19534;1
21851;1
19530;1
2022;35
3354;6
21859;1
3350;12
2019;1
12903;3
2017;3
3348;1
12901;1
2018;4
2015;2
12907;3
2016;2
3347;1
2013;1
743;20
2014;1
3345;6
19536;1
4690;3
10371;1
4695;25
2034;2
2031;37
2032;1
2030;2
751;1
3359;1
14738;1
750;17
2029;1
14737;1
2027;13
755;9
22350;2
756;25
10374;2
759;5
10375;3
4689;1
758;7
