<?xml version="1.0" encoding="UTF-8"?>Key;Name
22454;Université (Paris). Faculté de Médicine
20271;Katholische Kirche. Erzdiözese Köln
5435;Société Asiatique
11441;Bataviaasch Genootschap van Kunsten en Wetenschappen
11564;Mendelssohn &amp;amp; Co.
8822;Stadtbibliothek Bern
11565;Literary Society (Bombay)
6406;Preußen. Regierung
14833;Bishop’s College (Kalkutta)
11689;Kungliga Biblioteket Stockholm
6660;British Museum (London). Library
6661;East India Company (London)
21257;Haus-, Hof- und Staatsarchiv
6662;East India Company (London). Library
6784;Akademie der Künste (Berlin)
6663;Universität Breslau
20163;Russische Gesandtschaft (London)
6665;Sanskrit College (Kalkutta)
22463;Collège Charlemagne
22465;Bibliothèque Nationale de France. Département des Monnaies, Medailles et Antiques
19054;Kongelige Norske Videnskabers Selskab
22464;Musée de la Monnaie
19291;Somerset House (London)
12428;Rijksuniversiteit Groningen
6776;Beethoven-Gymnasium (Bonn)
11452;Hamburger Bank
6898;Messe Frankfurt
8713;Rijksuniversiteit Leiden
6779;Collège Royal Français (Berlin)
20160;Königliche Regierungs-Buchhandlung (Stralsund)
10487;F. A. Brockhaus (Leipzig)
9807;Königlich Preußische Akademische Kunst- und Buchhandlung (Berlin)
11578;Johann Friedrich Gleditsch (Leipzig)
14601;Académie de Genève
12544;Literarische Anstalt (J. Rütten) (Frankfurt, Main)
8837;Weinhandlung Pleunissen Köln
6670;University of Oxford
6792;Académie Française
21223;Société Libre des Sciences et Arts de Strasbourg
6671;University of Cambridge
21342;Bibliothèque de l&amp;#039;Arsenal
6794;Collège de France
6673;East India Company College (Hailey, Hertfordshire; Haileybury and Imperial Service College)
5585;Schlesinger’sche Buch- und Musikhandlung (Berlin)
6674;Ernst-Moritz-Arndt-Universität Greifswald
20133;Istituto di Corrispondenza Archeologica
6432;Teylers Godgeleerd Genootschap (Haarlem)
19266;Universitätsbibliothek Helmstedt
8851;Staatliche Museen zu Berlin. Antikensammlung
5586;Weidmannische Buchhandlung (Leipzig)
21349;Benediktiner-Stift Maria-Einsiedeln
11549;Société Ethnologique (Paris)
5578;Bankhaus Gebrüder Schickler (Berlin)
12631;Gelehrtenschule (Bremen)
6666;Sanskrit College (Kalkutta). Library
6667;Asiatic Society (Kalkutta). Library
8967;New London College
9935;Nicolaische Buchhandlung
12992;Drummond Bank
6668;France. Ministère des affaires ecclésiastiques et de l’instruction publique
6789;G. J. Göschen’sche Verlagsbuchhandlung
6669;Great Britain. Parliament
5579;J. G. Fleischerische Buchhandlung
8965;Koller &amp;amp; Cahlmann (London)
9819;Kloster Neuzelle
11543;La Madeleine (Paris)
11664;Treuttel et Würtz (Firma)
10454;Wappler &amp;amp; Beck
11544;Katholische Kirche. Erzdiözese Paris
11545;St-Louis-en-l’Île (Paris)
9937;Friedrich Nicolai (Berlin)
22449;Maison nationale de Charenton
21358;Bibliothèque du Roi. Cabinet des Médailles et Antiques
6682;Biblioteca Nazionale Marciana (Venedig)
5472;Helwingsche Hofbuchhandlung (Hannover)
6200;Imperatorskaja Akademija Nauk
5474;Herold &amp;amp; Wahlstab (Lüneburg)
6201;Königliches Museum (Berlin)
9952;Preußen. Ministerium des Innern
12527;Lincolnʼs Inn Fields (London)
8857;Hoffmann’s Buchhandlung
21350;Stiftsbibliothek Einsiedeln
10342;Charité - Universitätsmedizin Berlin
8977;(Industrieschule für Mädchen, Hannover)
6316;Waltherschen Kunst- und Buchhandlung (Erlangen)
11795;Chelsea College
5469;Hahn’sche Hofbuchhandlung (Hannover)
10465;C. vom Bruck (Bonn)
14824;Universität Jena. Akademischer Senat
11797;Kloster San Bartolomeo Fiesole
11434;Radcliffe Camera (Oxford)
11799;Black, Parry, &amp;amp; Co. (London)
6691;Calenbergische Witwenverpflegungsgesellschaft
8875;Adolph Marcus (Bonn)
8754;Großherzogliches Hoftheater Weimar
6213;Erzbergwerk Rammelsberg (Goslar)
8873;B. G. Teubner &amp;amp; F. Claudius
19482;Vieweg (Offizin, Berlin)
21208;Société de Lecture (Genf)
21447;Hamburg. Rath
11647;Konzerthaus Berlin
12615;Königliche Stadtdirektion Stuttgart
11529;Großherzoglich Hessische Ludwigs-Universität zu Gießen
11880;Königliche Ritter-Akademie zu Liegnitz
5479;Royal Society of Literature of the United Kingdom
12970;Royal Astronomical Society
10552;College of Fort William
11885;Kurfürstliches Hof-Theater in Cassel
9718;August Campe (Hamburg)
11765;Muilman &amp;amp; Soonen (Amsterdam)
8749;Sachsen. Oberappellationsgericht
19136;Jardin des Plantes (Paris)
20004;Königlich-Preußische Gesandtschaft (Frankfurt am Main)
9851;Literatur-Comptoir (Stuttgart)
8760;St. Josephs-Institut im Kloster Panschwitz-Kuckau-Marienstern
6221;Braunschweigische Schulbuchhandlung
8880;Glyptothek München
6463;Herzogliches Collegium Carolinum Braunschweig
6343;Lange’sche Verlagsbuchhandlung
6103;B. G. Hoffmann (Hamburg)
21571;Kloster St. Alban Mainz
6345;Vossische Buchhandlung (Berlin)
19377;Karl Tauchnitz (Leipzig)
19491;Voss und Comp. (Leipzig)
12506;Real Academia Española
12868;Fould, Oppenheim &amp;amp; Co
12505;Königsstädtisches Theater (Berlin)
11417;Minoriten
14803;Bengal Army
11418;Stephansdom (Wien)
11419;Peterskirche (Wien)
9606;Athenaeum (London)
8759;Burkersrodaer Fräuleinstift (Dresden)
8638;G. G. and J. Robinson (London)
11771;C. E. Wiedemann &amp;amp; Sohn
8637;Edwards &amp;amp; Sons (Offizin, London)
6218;Concordia et libertate (Amsterdam)
8877;Oriental Translation Fund
8635;Universitätsbibliothek Wien (Universität Wien)
6219;Amsterdamer Akademie der Dichtkunst und schönen Wissenschaften
11411;Royal Institution of Great Britain
9729;Akademie der Wissenschaften (Göttingen)
12622;Württembergische Polizeidirektion (Stuttgart)
11656;Black, Young &amp;amp; Young
12742;Königliches Gymnasium zu Coblenz
6230;Dycksche Buchhandlung
8530;Palais Royal (Paris)
6595;Biblioteca Ambrosiana
6232;Jahns Traiteurie
9622;Universität Frankfurt (Oder, 1506 - 1811)
14692;Bern. Stadtpolizei Bern
12033;Royal Society (London). Library
6115;Tories
6590;Porzellanmanufaktur (Gotha)
6589;Fürstenberg Porzellanmanufaktur (Fürstenberg, Weser)
12155;Gebrüder Benecke (Berlin)
9616;Akademische Buchhandlung (Jena)
5379;Hesshuizen &amp;amp; Comp. (Naarden)
9979;Königliche Oper Berlin
6227;Stiftsbibliothek St. Gallen
12037;The Travellers Club (London)
8529;Paris / Jardin du Luxembourg
6482;Universität Leipzig
9872;Hermannsche Buchhandlung (Frankfurt, Main)
9871;B. Metzler Seel. Sohn und Co.
6484;Johanneum (Hamburg). Gelehrtenschule
4064;Treuttel, Würtz &amp;amp; Co. (London)
6485;Universität (Halle, Saale)
6486;Gymnasium (Lingen (Ems))
9513;Académie des Sciences (Paris ; ab 1816)
6487;Wiener Kongress (1814-1815 : Wien)
6488;Akademie (Bern)
6004;Berliner Universität
6367;Bibliothèque Universelle (Offizin, Genf)
6489;Königliche Öffentliche Bibliothek (Hannover)
6247;Mohr &amp;amp; Winter (Heidelberg)
5150;J. G. Cottaʼsche Buchhandlung (Stuttgart)
6480;Staat Hannover. Armee
6481;Familien-Clubb (Göttingen)
22080;Comédie-Française
19918;Katholische Kirche. Congregatio de Propaganda Fide
6116;Whig Party
8779;Realschulbuchhandlung (Berlin)
9762;König &amp;amp; van Borcharen (Bonn; Leiden)
6013;Kupferstichkabinett (München)
14794;Ludwig-Maximilians-Universität Landshut
6135;Galleria degli Uffizi (Florenz)
6136;Società Colombaria Fiorentina
9886;Society of Dilettanti
6137;Biblioteca Medicea Laurenziana
9643;Gebrüder Kindervatter (Ulm)
6258;Königliche Gemäldegalerie (Dresden)
6370;Sammlung Giustiniani
6250;Gesamt-Universität Jena
14677;Akademischer Ausschuß zur Herausgabe der Werke Friedrich des Großen in Berlin
6127;Julius Eduard Hitzig (Berlin)
6248;Universitätsbibliothek Göttingen
8307;Königliches Pädagogium zu Halle
14795;Goethe-Theater Bad Lauchstädt
8668;Hochschule für Bildende Künste Dresden
9515;Institut de France
9757;Institut Pestalozzi
12257;Wilhelm Gottlob Sommer (Witwe und Sohn)
14678;Berliner Singakademie
9531;Gautier fils (Metz)
8562;Joh. Friedr. Korn des Älteren Buchhandlung (Breslau)
