Key;Name
9868;Izmir
5284;Elze
6372;Wildberg- Sulz am Eck
6131;Levanto
6373;Stuttgart-Vaihingen
6132;Como
6374;Palais Liechtenstein (Herrengasse, Wien)
5285;Pattensen
8799;Ubbergen
12130;Guntersblum
5048;Serampore
5047;Bergen (Norwegen)
5289;Meißen
490;Verona
250;Ellwangen (Jagst)
5280;Nienburg / Weser
252;Meiningen
251;Schaffhausen
6371;Urbino
256;Wilna
259;Bad Bocklet
5039;Karlsruhe
12135;Drenthe
12136;Oldenhave (Ruinen, Drenthe)
5053;Kent
5296;Schulpforte
6387;Schloss Chaumont-sur-Loire
8567;Wittenberg
260;Küssnacht am Rigi
5051;Brighton
262;Naumburg (Saale)
265;Morgenthal
8318;Schloss Johannisberg (Geisenheim)
5049;Udaipur
8317;Genzano di Roma
12146;Groningen
12149;Genemuiden
6395;Great Bealings (England)
6397;Poona
10172;Laun
9666;Schloss Ludwigslust (Ludwigslust)
270;Stolp
6392;Woodbridge
6151;Schloss Heidelberg (Heidelberg)
278;Pisa
277;Nizza
279;Neapel
8329;Schlangenbad
9659;Philadelphia, Pa.
8344;Tautenburg
8343;Dornburg/Saale
9674;Neumarkt-Kemmelbach
9672;Amstetten (Niederösterreich)
10184;Besançon
21077;Kintzheim
12360;Zellerfeld
280;Genf
283;Bayreuth
282;Teplitz
289;Florenz
12125;Den Helder
12126;Texel
6174;Jagdschloss Falkenlust (Brühl, Rhein-Erft-Kreis)
5088;Trient
14750;Candé-sur-Beuvron
6178;Paris-Saint-Germain-des-Prés
9206;Sarzana
11480;Zähringen, Breisgau
10392;Altona-Ottensen
9205;Sitten
10151;Krummin
8356;Berndorf (Groitzsch)
292;London
9682;Ägina
294;Turin
293;Carrara
296;Morges
295;Payerne
1953;Chaumont-sur-Loire
298;Nyon
297;Lausanne
299;Avenches
14512;Aphrodisias
11001;Havelberg
14511;Knidos
10155;Schnepfenthal
2807;Moringen
10156;Sankt Georg (Hamburg)
1957;Maulbronn
10157;Weinheim
10159;Bryn Estyn (Wrexham)
12336;Nanjing
14513;Patara (Lykien)
6186;Schloss Wilhelmshöhe (Kassel)
6187;Delhi
6188;Bielefeld
10160;Paris-Auteuil
10162;Hampstead
21296;Mengen (Landkreis Sigmaringen)
9451;Leny Estate (Callander)
8360;Altenburg (Thüringen)
3902;Teltow
21052;Les Eaux Bonnes
10164;Warwick
10165;Gurcy-le-Châtel
11254;Schwalbach
10167;La Grange (Genf)
12104;Polvellan (Looe, Cornwall)
12346;Friedland (Landkreis Mecklenburgische Seenplatte)
19623;Turku
13088;Damaskus
21707;Kiew
1975;Fritzlar
1732;Dorpat
1971;Niederjugelheim
1979;Limburg a. d. Lahn
1738;Leiden
2825;Züllichau
9234;Unterwalden
9233;Chambéry
9472;Winterthur
1745;Rathenow
21708;Weliki Nowgorod
1508;Baden (Niederösterreich)
9486;Paestum
18995;Brüggen (Kr. Hildesheim)
19601;Lunéville
21927;Grenoble
9241;Feldkirch
20829;Tarbes
19602;Campoformido
1517;Kassel
1999;Bremen
9497;B?miy?n
9254;Zofingen
21936;Faubourg Saint-Germain (Paris)
1524;Pillnitz
2612;Heilbronn
3709;Warendorf
1529;Augsburg
1527;Konstanz
18972;Lauterbrunnen
7088;Rurich
7089;Valkenburg
1780;Gaeta
7082;Sandgate (Großbritannien)
1777;Philippsthal (Werra)
2620;Calais
1530;Oberschleißheim-Schleißheim
7098;Schlüsselburg
7091;Java
7092;Borneo
9030;Brunstein/Brunnstein (?)
1789;Aspern
1786;Brünn
2634;Schloss Saint-Cloud
5909;Oranienburg
1783;Salzburg
3721;Aschaffenburg
5900;Wustermark
19835;Salamanca
5903;Wartburg
5902;Rudelsburg
13023;Biel
9280;Endenich
2401;Verdun
5910;Bad Doberan
13024;Moutier
5914;Lille
1571;Unspunnen
2661;Toulouse
5928;Orléans
3983;Fulda
3984;Trier
21423;Simplon (Pass)
22759;Hüningen
19340;Mekka
1575;Melk
2420;Bordeaux
1574;Hof (Saale)
5933;Meulan
2682;Görz
2440;Offenbach am Main
3530;Oxford
19592;Battle
1591;Koblenz
20105;Burgruine Rothenburg (Kyffhäuserland)
20106;Burgruine Rottenburg (Buch in Tirol)
1106;Albano Laziale
10546;Thun
10305;Hardegsen
2678;Arles
1347;Colberg
1344;Fürstentum Grubenhagen
1100;Gießen
1343;Ia?i (Jassy)
922;Merseburg
10540;Keswick
5705;Hofgeismar
20552;Vincennes
9089;Georgenthal/Thür. Wald
21400;Tortosa
1362;Königsberg
6806;Brühl (Rhein-Erft-Kreis)
11603;Ravensworth Castle (Tyne and Wear)
11604;Durham
2688;Einbeck
1599;Preßburg
11605;London-Deptford
3533;Greifswald
1597;Kronach
2687;Alfeld (Leine)
12939;Gujarat
3531;Cambridge
2684;Elze-Wülfingen
12938;Mahabaleshwar
2685;Thiedenwiese (Pattensen)
6803;Schloss Augustusburg (Brühl)
3539;Varanasi (Benares)
21411;Beirut
3792;Patna
3793;Magadha
21418;Tyros
21416;Persepolis
1370;Stuttgart
6817;Brügge
3304;Alt Madlitz
11857;Aylesbury (Großbritannien)
2699;Clausthal
1126;Gent
1127;Amiens
9091;Limmer (Hannover)
2213;Marseille
1125;Lüttich
2698;Marburg
2695;Madras
941;Bad Nenndorf
3308;Frankfurt (Oder)
21621;Wi?lica
4890;Lucka
4892;Burg Königstein (Königstein im Taunus)
4893;Kronberg im Taunus
2229;Erlenbach (Kanton Zürich)
3318;Lahr/Schwarzwald
1379;Lübeck
1378;Amsterdam
2465;Cádiz
3312;Fürstenwalde/Spree
2223;Syrakus
5731;Bílina (Bilin)
5737;Muntelier
5992;Fraukirch
6840;Poppelsdorf
2242;Stralsund
3571;Versailles
21636;Stephansdom (Wien)
21634;Toledo
2239;Uppsala
12922;Montrose (Schottland)
2238;Stockholm
3566;Bagdad
1146;Preußisch Eylau
5501;Bad Kreuznach
6831;Bayonne
5985;Purkersdorf
5986;Triest
6837;Dinslaken
6838;Wesel
20991;Kehl
6610;List (Landkreis Hannover)
4431;Murrhardt
3343;Fossé (Blois)
2251;Karlskrona
21847;Pa?lamcottah
2010;Montmorency
2492;Langenschwalbach
11800;Monza
971;Unterzell (Zell, Main)
3335;Amboise
2489;Plombières-les-Bains
2002;Flottbek
2244;Göteborg
732;Sankt Pölten
19529;Abbaye de Fleury (Saint-Benoît-sur-Loire)
5995;Vorderbrühl (Mödling)
5998;Fiume
5999;Klosterneuburg
22702;Laon
19533;Saint-Germain-des-Prés (Paris), Abtei
